filename,ImageID,url,thumburl,hits,miss,fa,cr,HR,FAR,score,Number of edges,Entropy,Feature congestion,Number of distinct colors,Familiarity,Realism,Happiness,Clutter,Interestingness,Author,Paper Title,Paper URL,Paper DOI,First Page,Last Page,Year
sci1115.png,I1140,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1115.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1115.png,60,19,1,155,0.7595,0.01,3.19,2.98,1.88,2.13,2,3.2,2.7,4.1,3.1,4.5,"Tran Minh Quan, Junyoung Choi, Haejin Jeong, Won-Ki Jeong",An Intelligent System Approach for Probabilistic Volume Rendering Using Hierarchical 3D Convolutional Sparse Coding,http://dx.doi.org/10.1109/TVCG.2017.2744078,10.1109/TVCG.2017.2744078,964,973,2017
sci814.png,I1082,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci814.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci814.png,54,18,2,149,0.75,0.0132,2.89,1.88,1.96,3.32,2,3.4,3.5,4,3.2,3.7,Joseph Marino;Arie E. Kaufman,Planar Visualization of Treelike Structures,http://dx.doi.org/10.1109/TVCG.2015.2467413,10.1109/TVCG.2015.2467413,906,915,2015
sci685.png,I1048,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci685.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci685.png,70,12,5,136,0.8537,0.0355,2.86,5.57,6.76,2.39,3,6.4,5.6,6.4,4.2,6.3,Peter Rautek;Stefan Bruckner;Eduard Gröller;Markus Hadwiger,ViSlang: A System for Interpreted Domain-Specific Languages for Scientific Visualization,http://dx.doi.org/10.1109/TVCG.2014.2346318,10.1109/TVCG.2014.2346318,2388,2396,2014
sci334.png,I975,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci334.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci334.png,56,21,3,145,0.7273,0.0203,2.65,2.36,6.79,1.71,5,5.6,4.1,5.1,4.2,5.9,Philipp Schlegel;Maxim Makhinya;Renato Pajarola,Extinction-Based Shading and Illumination in GPU Volume Ray-Casting,http://dx.doi.org/10.1109/TVCG.2011.198,10.1109/TVCG.2011.198,1795,1802,2011
sci696.png,I1052,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci696.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci696.png,50,14,5,142,0.7812,0.034,2.6,2.48,5.5,2.11,1,5.6,4.9,5.6,3.7,5.8,Dilip Mathew Thomas;Vijay Natarajan,Multiscale Symmetry Detection in Scalar Fields by Clustering Contours,http://dx.doi.org/10.1109/TVCG.2014.2346332,10.1109/TVCG.2014.2346332,2427,2436,2014
sci52.png,I924,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci52.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci52.png,49,27,2,149,0.6447,0.0132,2.59,7.74,5.31,5.17,5,3.2,4.1,5.3,4.5,5.4,Jennis Meyer-Spradow;Lars Stegger;Christian Döring;Timo Ropinski;Klaus H. Hinrichs,Glyph-Based SPECT Visualization for the Diagnosis of Coronary Artery Disease,http://dx.doi.org/10.1109/TVCG.2008.136,10.1109/TVCG.2008.136,1499,1506,2008
sci926.png,I1112,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci926.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci926.png,63,23,4,155,0.7326,0.0252,2.58,11.01,4.61,8.24,2,4.2,4.3,4.1,4.3,5.1,Ivan Kolesar;Stefan Bruckner;Ivan Viola;Helwig Hauser,A Fractional Cartesian Composition Model for Semi-Spatial Comparative Visualization Design,http://dx.doi.org/10.1109/TVCG.2016.2598870,10.1109/TVCG.2016.2598870,851,860,2016
sci570.png,I1020,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci570.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci570.png,57,12,8,149,0.8261,0.051,2.57,7.23,4.65,2.09,3,5.5,4.9,5.3,4.6,4.6,Yubo Zhang;Kwan-Liu Ma,Lighting Design for Globally Illuminated Volume Rendering,http://dx.doi.org/10.1109/TVCG.2013.172,10.1109/TVCG.2013.172,2946,2955,2013
sci164.png,I948,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci164.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci164.png,49,28,2,146,0.6364,0.0135,2.56,4.6,5.36,2.63,3,4.3,4.5,4.3,4.9,5,Florian Ferstl;Kai Bürger;Holger Theisel;Rüdiger Westermann,Interactive Separating Streak Surfaces,http://dx.doi.org/10.1109/TVCG.2010.169,10.1109/TVCG.2010.169,1569,1577,2010
sci424.png,I992,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci424.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci424.png,56,20,4,142,0.7368,0.0274,2.55,19.46,6.4,8.01,3,4.7,4.6,4.8,5.4,4.6,Harald Obermaier;Kenneth I. Joy,Derived Metric Tensors for Flow Surface Visualization,http://dx.doi.org/10.1109/TVCG.2012.211,10.1109/TVCG.2012.211,2149,2158,2012
sci447.png,I998,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci447.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci447.png,48,22,3,146,0.6857,0.0201,2.54,6.06,4.47,2.44,1,5.1,5.3,4,3.5,4.2,Yubo Tao;Hai Lin;Feng Dong;Chao Wang;Gordon Clapworthy;Hujun Bao,Structure-Aware Lighting Design for Volume Visualization,http://dx.doi.org/10.1109/TVCG.2012.267,10.1109/TVCG.2012.267,2372,2381,2012
sci543.png,I1013,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci543.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci543.png,51,19,4,139,0.7286,0.028,2.52,4.13,4.68,2.41,2,4.6,5,3.9,3.8,3.8,Jan Kretschmer;Christian Godenschwager;Bernhard Preim;Marc Stamminger,Interactive Patient-Specific Vascular Modeling with Sweep Surfaces,http://dx.doi.org/10.1109/TVCG.2013.169,10.1109/TVCG.2013.169,2828,2837,2013
sci1122.png,I1141,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1122.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1122.png,59,14,7,132,0.8082,0.0504,2.51,3.61,2.87,1.52,2,5.2,4.7,4.1,3.3,4.6,"Elham Sakhaee, Alireza Entezari",A Statistical Direct Volume Rendering Framework for Visualization of Uncertain Data,http://dx.doi.org/10.1109/TVCG.2016.2637333,10.1109/TVCG.2016.2637333,2509,2520,2017
sci156.png,I945,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci156.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci156.png,53,22,4,141,0.7067,0.0276,2.46,9.59,6.84,2.78,3,4.6,4.9,4.4,4.6,5.2,Jian Cui;Paul Rosen;Voicu Popescu;Christoph M. Hoffmann,A Curved Ray Camera for Handling Occlusions through Continuous Multiperspective Visualization,http://dx.doi.org/10.1109/TVCG.2010.127,10.1109/TVCG.2010.127,1235,1242,2010
sci198.png,I954,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci198.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci198.png,65,23,6,160,0.7386,0.0361,2.44,6.36,4.5,4.34,6,4.4,4.6,4.4,4.4,5.2,Peter Kok;Martin Baiker;Emile A. Hendriks;Frits H. Post;Jouke Dijkstra;Clemens W. G. M. Löwik;Boudewijn P. F. Lelieveldt;Charl P. Botha,Articulated Planar Reformation for Change Visualization in Small Animal Imaging,http://dx.doi.org/10.1109/TVCG.2010.134,10.1109/TVCG.2010.134,1396,1404,2010
sci833.png,I1086,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci833.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci833.png,52,14,7,132,0.7879,0.0504,2.44,2.32,4.6,2.96,1,5.1,3.2,3.9,3.1,4.1,Jorge Poco;Harish Doraiswamy;Marian Talbert;Jeffrey T. Morisette;Cláudio T. Silva,Using Maximum Topology Matching to Explore Differences in Species Distribution Models,http://dx.doi.org/10.1109/SciVis.2015.7429486,10.1109/SciVis.2015.7429486,9,16,2015
sci836.png,I1087,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci836.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci836.png,59,27,4,154,0.686,0.0253,2.44,12.05,5.54,4.7,2,5.7,5.1,4.3,4.9,4.8,David Schroeder;Daniel F. Keefe,Visualization-by-Sketching: An Artist's Interface for Creating Multivariate Time-Varying Data Visualizations,http://dx.doi.org/10.1109/TVCG.2015.2467153,10.1109/TVCG.2015.2467153,877,885,2015
sci582.png,I1022,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci582.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci582.png,53,11,10,126,0.8281,0.0735,2.4,6.53,6.02,2.46,2,5.3,4.6,4.9,5.1,4.7,Marco Ament;Filip Sadlo;Carsten Dachsbacher;Daniel Weiskopf,Low-Pass Filtered Volumetric Shadows,http://dx.doi.org/10.1109/TVCG.2014.2346333,10.1109/TVCG.2014.2346333,2437,2446,2014
sci599.png,I1028,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci599.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci599.png,48,19,5,130,0.7164,0.037,2.36,10.65,5.87,4.43,2,5,4.6,5.3,5.3,5.2,Steffen Frey;Filip Sadlo;Kwan-Liu Ma;Thomas Ertl,Interactive Progressive Visualization with Space-Time Error Control,http://dx.doi.org/10.1109/TVCG.2014.2346319,10.1109/TVCG.2014.2346319,2397,2406,2014
sci799.png,I1075,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci799.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci799.png,42,23,3,122,0.6462,0.024,2.35,5.88,2.2,6.55,3,4.1,4.5,3.9,4.1,4.7,Kai Lawonn;Sylvia Glaßer;Anna Vilanova;Bernhard Preim;Tobias Isenberg,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,http://dx.doi.org/10.1109/TVCG.2015.2467961,10.1109/TVCG.2015.2467961,728,737,2015
sci532.png,I1011,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci532.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci532.png,49,26,4,151,0.6533,0.0258,2.34,8.27,6.97,6.44,3,4.8,5.5,3.8,3.2,4.6,Benjamin Köhler;Rocco Gasteiger;Uta Preim;Holger Theisel;Matthias Gutberlet;Bernhard Preim,Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates,http://dx.doi.org/10.1109/TVCG.2013.189,10.1109/TVCG.2013.189,2773,2782,2013
sci3.png,I915,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci3.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci3.png,46,29,3,144,0.6133,0.0204,2.33,5.06,2.74,1.62,2,3.6,4.3,5.1,4.2,4.8,Sven Bachthaler;Daniel Weiskopf,Continuous Scatterplots,http://dx.doi.org/10.1109/TVCG.2008.119,10.1109/TVCG.2008.119,1428,1435,2008
sci78.png,I930,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci78.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci78.png,48,15,7,125,0.7619,0.053,2.33,5.64,6.44,1.83,4,5,4.8,4.2,4.2,4.1,David C. Banks;Kevin Beason,Decoupling Illumination from Isosurface Generation Using 4D Light Transport,http://dx.doi.org/10.1109/TVCG.2009.137,10.1109/TVCG.2009.137,1595,1602,2009
sci187.png,I951,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci187.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci187.png,28,34,1,140,0.4516,0.0071,2.33,14.05,5.08,2.68,1,4.4,4.5,4.5,4.4,5,Won-Ki Jeong;Jens Schneider;Stephen G. Turney;Beverly E. Faulkner-Jones;Dominik Meyer;Rüdiger Westermann;R. Clay Reid;Jeff Lichtman;Hanspeter Pfister,Interactive Histology of Large-Scale Biomedical Image Stacks,http://dx.doi.org/10.1109/TVCG.2010.168,10.1109/TVCG.2010.168,1386,1395,2010
sci1072.png,I1132,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1072.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1072.png,50,12,9,116,0.8065,0.072,2.33,11.61,6.35,5.71,2,4.1,4.3,4,5.4,4.2,"Tobias Klein, Ludovic Autin, Barbora Kozlíková, David S. Goodsell, Arthur Olson, M. Eduard Gröller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,862,872,2017
